book_name,writer_name,type,category,mood,cover_url
Monkey Island,Paula Fox,Book,English,Calm,https://images.amazon.com/images/P/0531059626.01.LZZZZZZZ.jpg
Baby Elephant (Baby),Susan Hellard,Book,English,Calm,https://images.amazon.com/images/P/1853406414.01.LZZZZZZZ.jpg
Aliens Genocide (Aliens),David Bischoff,Book,English,Calm,https://images.amazon.com/images/P/0553563718.01.LZZZZZZZ.jpg
The Prayer of Jabez for Women,Darlene Marie Wilkinson,Book,English,Calm,https://images.amazon.com/images/P/1576739627.01.LZZZZZZZ.jpg
Girlfriends,Jayne Wexler,Book,English,Calm,https://images.amazon.com/images/P/076240759X.01.LZZZZZZZ.jpg
The Best Bachelorette Party Book,Becky Long,Book,English,Calm,https://images.amazon.com/images/P/0671318195.01.LZZZZZZZ.jpg
Letters to Harry: A True Story of a Daughter's Love and a Mother's Final Journey,Janet Farrington Graham,Book,English,Calm,https://images.amazon.com/images/P/0737000465.01.LZZZZZZZ.jpg
Basic Scientific Subroutines,Fred Ruckdeschel,Book,English,Calm,https://images.amazon.com/images/P/0070542023.01.LZZZZZZZ.jpg
El Banquete,Platon,Book,English,Calm,https://images.amazon.com/images/P/8430932089.01.LZZZZZZZ.jpg
Madame kommt heute spÃ?ÃÂ¤ter. Roman.,Susanna Kubelka,Book,English,Calm,https://images.amazon.com/images/P/340416136X.01.LZZZZZZZ.jpg
Second Chance,Syd Banks,Book,English,Calm,https://images.amazon.com/images/P/0449902439.01.LZZZZZZZ.jpg
"Patios, Pots and Window Box",Parragon,Book,English,Calm,https://images.amazon.com/images/P/0752521454.01.LZZZZZZZ.jpg
Wee Sing Bible Song Book,Pamela Conn Beall,Book,English,Calm,https://images.amazon.com/images/P/0843115661.01.LZZZZZZZ.jpg
Jesus der Christus,Walter Kasper,Book,English,Calm,https://images.amazon.com/images/P/3786704643.01.LZZZZZZZ.jpg
The Reluctant Husband (Zebra Regency Romance),Madeleine Conway,Book,English,Calm,https://images.amazon.com/images/P/0821776401.01.LZZZZZZZ.jpg
